date,nav_base,nav_l4,rel_l4_vs_base
2024-10-24,49290081.95065468,48954796.33275163,0.9931977062193017
2024-10-25,49180646.90204932,48838421.32090627,0.9930414583235425
2024-10-28,49378664.847371675,49011861.47800551,0.9925716223697028
2024-10-29,48991548.75883152,48611746.37929823,0.99224759393905
2024-10-30,49124005.525253095,48734407.822438516,0.9920690974066783
2024-11-01,48617921.72450863,48261065.92586146,0.9926599947922646
2024-11-04,49082962.52567139,48679352.29928944,0.9917769791061236
2024-11-05,49253043.754033625,48849833.24181466,0.9918134904670547
2024-11-06,49074004.356474854,48686890.52982137,0.9921116315709336
2024-11-07,49184809.918451294,48780286.936485544,0.9917754489112298
2024-11-08,49455068.01005614,49055947.2450662,0.9919296286295921
2024-11-11,49421415.780795746,49007758.36504079,0.9916299966478156
2024-11-12,49059703.96405664,48629843.1803091,0.9912380069789563
2024-11-13,49218986.00317743,48786837.240359925,0.9912198767607767
2024-11-14,48822337.65934626,48382903.94473375,0.9909993307227806
